state,x,y
Andhra Pradesh,-70.0,-143.0
Arunachal Pradesh,231.0,157.0
Assam,189.0,108.0
Bihar,59.0,87.0
Chhattisgarh,-9.0,-5.0
Goa,-165.0,-131.0
Gujarat,-216.0,24.0
Haryana,-118.0,155.0
Himachal Pradesh,-100.0,216.0
Jharkhand,49.0,41.0
Karnataka,-133.0,-151.0
Kerala,-116.0,-242.0
Madhya Pradesh,-90.0,31.0
Maharashtra,-143.0,-48.0
Manipur,218.0,73.0
Meghalaya,160.0,86.0
Mizoram,198.0,35.0
Nagaland,227.0,105.0
Odisha,37.0,-25.0
Punjab,-132.0,188.0
Rajasthan,-177.0,104.0
Sikkim,109.0,126.0
Tamil Nadu,-78.0,-229.0
Telangana,-67.0,-80.0
Tripura,172.0,52.0
Uttar Pradesh,-38.0,108.0
Uttarakhand,-63.0,178.0
West Bengal,98.0,31.0
Jammu and Kashmir,-110.0,272.0

